ref,Partname,X,Y,R,size_x,size_y,top,bot,left,right
C2193,AT07-102339,52.438,30.0611,90,0.6,0.3,1,0,1,0
C2194,AT07-102334,53.414,26.059,180,0.6,0.3,1,0,1,0
C2728,AT07-102326,248.373,14.1804,270,0.6,0.3,1,0,1,0
C2882,2203-010550,222.012,12.702,270,0.6,0.3,1,0,1,0
C2883,2203-010550,222.922,12.702,270,0.6,0.3,1,0,1,0
C2884,2203-010550,223.832,12.702,270,0.6,0.3,1,0,1,0
C2885,2203-010550,224.742,12.702,270,0.6,0.3,1,0,1,0
C2886,2203-010550,222.922,11.777,270,0.6,0.3,1,0,1,0
C2887,2203-010550,222.012,11.777,270,0.6,0.3,1,0,1,0
C2888,2203-010550,223.832,11.777,270,0.6,0.3,1,0,1,0
C2889,2203-010550,224.742,11.777,270,0.6,0.3,1,0,1,0
C2890,2203-010567,224.987,14.862,90,0.6,0.3,1,0,1,0
C3000,2203-010567,135.5426,28.3877,90,0.6,0.3,1,0,1,0
C3001,AT07-102327,135.5426,27.4602,270,0.6,0.3,1,0,1,0
C3125,AT07-102326,220.7432,14.7887,180,0.6,0.3,1,0,1,0
C3300,AT07-102203,6.8266,8.05,90,0.6,0.3,1,0,1,0
C3301,AT07-102203,5.3766,6.63,90,0.6,0.3,1,0,1,0
C3302,AT07-102203,4.6516,8.05,90,0.6,0.3,1,0,1,0
C3303,AT07-102203,8.3766,6.63,90,0.6,0.3,1,0,1,0
C3304,AT07-102203,4.6516,6.63,90,0.6,0.3,1,0,1,0
C3305,AT07-102203,5.3766,8.05,90,0.6,0.3,1,0,1,0
C3306,AT07-102203,6.1016,6.63,90,0.6,0.3,1,0,1,0
C3307,2203-010555,26.0575,8.055,90,0.6,0.3,1,0,1,0
C3310,AT05-100451,27.9175,6.68,0,0.6,0.3,1,0,1,0
C3311,2203-010574,27.9175,6.225,0,0.6,0.3,1,0,1,0
C3312,2203-010551,25.2425,6.83,90,0.6,0.3,1,0,1,0
C3313,AT07-101982,36.6575,6.65,90,0.6,0.3,1,0,1,0
C3314,AT07-102171,17.3825,7.43,90,0.6,0.3,1,0,1,0
C3315,AT07-101982,18.8075,7.43,90,0.6,0.3,1,0,1,0
C3316,AT07-102171,35.2825,6.65,90,0.6,0.3,1,0,1,0
C3319,AT05-100451,21.7425,6.63,0,0.6,0.3,1,0,1,0
C3320,2203-010574,20.4575,6.82,180,0.6,0.3,1,0,1,0
C3321,2203-010551,21.7425,7.085,0,0.6,0.3,1,0,1,0
C3322,2203-010555,37.4325,6.65,90,0.6,0.3,1,0,1,0
C3323,AT07-101982,16.6825,7.43,90,0.6,0.3,1,0,1,0
C3324,AT07-101982,18.0825,7.43,90,0.6,0.3,1,0,1,0
C3325,AT07-102171,35.9575,6.65,90,0.6,0.3,1,0,1,0
C3326,2203-010555,34.5325,6.605,90,0.6,0.3,1,0,1,0
C3327,2203-010555,19.5825,6.62,90,0.6,0.3,1,0,1,0
C3328,2203-010555,34.1525,7.71,0,0.6,0.3,1,0,1,0
C3331,AT07-101982,25.8375,6.62,90,0.6,0.3,1,0,1,0
C3332,AT05-100451,26.4275,6.48,90,0.6,0.3,1,0,1,0
C3333,2203-010574,26.8825,6.48,90,0.6,0.3,1,0,1,0
C3334,2203-010555,38.5125,7.92,0,0.6,0.3,1,0,1,0
C3335,2203-010555,38.5375,7.095,0,0.6,0.3,1,0,1,0
C3336,2203-010555,15.9075,6.62,90,0.6,0.3,1,0,1,0
C3339,AT07-101982,30.1375,8.055,90,0.6,0.3,1,0,1,0
C3340,AT05-100451,30.0057,6.68,180,0.6,0.3,1,0,1,0
